"","Q006","TP_ESCOLA","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","NU_IDADE","TP_ST_CONCLUSAO","Q025","Q001","Q002","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","NOTA_MEDIA","NOTA_MEDIA_GROUPPED"
"16","C",1,"F",0,3,21,1,"B","C","D",439.7,523.3,557.7,614,540,534.94,10
"43","D",1,"M",1,1,20,1,"B","F","D",575.7,487.5,564.7,609.5,280,503.48,10
"55","L",3,"F",1,1,19,2,"B","E","G",572.9,583.7,568.6,640.7,680,609.18,12
"75","L",1,"F",1,1,24,1,"B","E","F",666.7,657.3,613.5,705.5,780,684.6,13
"76","B",1,"F",1,1,18,1,"B","E","E",454,548.8,547.4,436.4,800,557.32,11
"82","I",2,"F",1,1,18,2,"B","F","E",531.2,639.8,616.2,604.7,840,646.38,12
"86","B",1,"F",1,3,18,1,"B","E","C",453,521.6,528,455.3,720,535.58,10
"90","M",3,"F",1,1,17,2,"B","G","G",572.6,625.1,576.9,562.9,780,623.5,12
"94","E",1,"F",1,1,18,1,"B","F","G",412.9,404.6,476.2,441.3,540,455,9
"103","B",1,"F",1,1,26,1,"A","E","E",393,532.9,537.6,399.1,500,472.52,9
"120","G",1,"F",1,1,21,1,"B","C","D",424,510.5,551.4,608,740,566.78,11
"134","O",2,"F",1,1,18,2,"B","G","G",585.1,602,607.6,627.1,660,616.36,12
"148","E",1,"F",1,2,24,1,"B","E","D",433.2,468.5,466,376.4,380,424.82,8
"155","E",1,"F",1,1,20,1,"B","C","D",426.1,542.8,560.2,493,600,524.42,10
"208","I",2,"M",1,1,19,2,"B","H","G",542.2,596.5,587,613,720,611.74,12
"222","J",1,"M",1,1,26,1,"B","E","E",600.1,526,591.2,573.4,600,578.14,11
"248","B",2,"F",1,0,18,2,"B","C","A",471.3,550.6,553.6,607.5,640,564.6,11
"278","C",1,"F",1,1,20,1,"B","B","E",422,431.2,478.6,446.4,580,471.64,9
"394","Q",1,"M",1,1,17,3,"B","G","G",553,552.1,578.1,645.4,740,613.72,12
"435","K",1,"F",1,1,20,1,"B","F","F",531.3,545.7,564.4,405.1,560,521.3,10
"436","G",2,"F",1,1,19,2,"B","D","B",565.8,566.7,544.3,451.6,720,569.68,11
"448","E",2,"M",1,1,17,2,"B","H","E",461,533.3,545.5,617.3,720,575.42,11
"504","C",1,"M",1,3,27,1,"B","B","E",455.5,528.4,561.1,468.3,320,466.66,9
"505","D",2,"M",1,3,17,2,"B","D","D",493.3,556.6,525.5,597.5,480,530.58,10
"535","C",1,"F",1,1,20,1,"A","F","E",403.4,427.3,523.9,389.1,500,448.74,8
"559","K",2,"M",1,0,17,2,"B","C","E",541.6,580.7,568,688.4,700,615.74,12
"571","C",2,"F",1,2,17,2,"B","C","D",449.6,568.4,531,664.4,840,610.68,12
"578","D",2,"F",1,1,17,2,"B","B","A",411.1,455.1,514.8,439.3,480,460.06,9
"592","H",1,"F",1,3,17,3,"B","F","E",632.3,626.3,564.6,539.2,920,656.48,13
"602","H",1,"F",1,1,19,1,"B","G","G",615.6,643.2,563.9,718.6,760,660.26,13
"613","C",1,"F",1,1,19,1,"B","D","E",465.3,497.8,530.6,401.9,480,475.12,9
"616","F",1,"F",1,1,19,1,"B","D","D",496.7,490,545.4,637,560,545.82,10
"617","J",1,"M",1,3,17,1,"B","G","G",619.4,640.9,558.7,699,840,671.6,13
"621","P",3,"M",1,1,17,2,"B","E","E",645.9,596.4,579.5,719.5,580,624.26,12
"661","C",1,"F",1,1,23,1,"B","H","D",487.1,487.5,523.5,499.7,240,447.56,8
"676","D",2,"M",1,3,18,2,"B","C","C",387.3,469,513.6,558.8,600,505.74,10
"688","D",1,"F",1,3,17,3,"B","E","C",402.3,464.6,548,464.4,0,375.86,7
"721","H",1,"M",1,1,16,3,"B","G","G",577.5,546.3,598.9,522.3,680,585,11
"734","O",1,"M",1,1,17,3,"B","E","E",635.9,636.2,606.7,883.6,780,708.48,14
"764","O",1,"F",0,1,16,3,"B","G","E",545.8,563.8,559.3,537.4,780,597.26,11
"766","D",1,"F",1,1,18,3,"B","H","B",457.7,585.8,591.9,606.5,680,584.38,11
"779","C",1,"M",1,3,22,1,"B","F","F",587.8,673,597.8,644.9,860,672.7,13
"798","H",1,"F",1,1,18,1,"B","D","E",528.7,592.9,546.7,442.4,580,538.14,10
"811","B",1,"F",1,3,18,1,"B","H","E",476.4,501.8,466.8,482,600,505.4,10
"818","B",2,"F",1,1,18,2,"B","C","B",500,584.8,573.2,516,680,570.8,11
"858","Q",3,"F",1,1,17,2,"B","F","G",522,601.4,602.8,665.4,740,626.32,12
"873","G",1,"F",1,1,20,1,"B","C","E",582.7,617.2,560.2,629.4,680,613.9,12
